"Timestamp","Age","Gender","Purchase_Frequency","Purchase_Categories","Personalized_Recommendation_Frequency_6","Browsing_Frequency","Product_Search_Method","Search_Result_Exploration","Customer_Reviews_Importance","Add_to_Cart_Browsing","Cart_Completion_Frequency","Cart_Abandonment_Factors","Saveforlater_Frequency","Review_Left","Review_Reliability","Review_Helpfulness","Personalized_Recommendation_Frequency_18","Recommendation_Helpfulness","Rating_Accuracy","Shopping_Satisfaction","Service_Appreciation","Improvement_Areas","Purchase_Frequency_Encode"
2023-06-04,23,"Female","Few times a month","Beauty and Personal Care","Yes","Few times a week","Keyword","Multiple pages",1,"Yes","Sometimes","Found a better price elsewhere","Sometimes","Yes","Occasionally","Yes",2,"Yes",1,1,"Competitive prices","Reducing packaging waste",3
2023-06-04,23,"Female","Once a month","Clothing and Fashion","Yes","Few times a month","Keyword","Multiple pages",1,"Yes","Often","High shipping costs","Rarely","No","Heavily","Yes",2,"Sometimes",3,2,"Wide product selection","Reducing packaging waste",2
2023-06-04,24,"Prefer not to say","Few times a month","Groceries and Gourmet Food;Clothing and Fashion","No","Few times a month","Keyword","Multiple pages",2,"Yes","Sometimes","Found a better price elsewhere","Rarely","No","Occasionally","No",4,"No",3,3,"Competitive prices","Product quality and accuracy",3
2023-06-04,24,"Female","Once a month","Beauty and Personal Care;Clothing and Fashion;others","Sometimes","Few times a month","Keyword","First page",5,"Maybe","Sometimes","Found a better price elsewhere","Sometimes","Yes","Heavily","Yes",3,"Sometimes",3,4,"Competitive prices","Product quality and accuracy",2
2023-06-04,22,"Female","Less than once a month","Beauty and Personal Care;Clothing and Fashion","Yes","Few times a month","Filter","Multiple pages",1,"Yes","Sometimes","High shipping costs","Rarely","No","Heavily","Yes",4,"Yes",2,2,"Competitive prices","Product quality and accuracy",1
2023-06-04,21,"Female","Less than once a month","Clothing and Fashion","No","Rarely","categories","Multiple pages",1,"Yes","Rarely","Changed my mind or no longer need the item","Never","No","Heavily","Yes",5,"No",5,2,"Wide product selection","Product quality and accuracy",1
2023-06-04,22,"Female","Less than once a month","Clothing and Fashion","No","Rarely","Filter","Multiple pages",1,"Yes","Often","High shipping costs","Rarely","No","Heavily","Yes",3,"Sometimes",3,3,"Wide product selection","Shipping speed and reliability",1
2023-06-04,21,"Female","Few times a month","Beauty and Personal Care;Clothing and Fashion","No","Rarely","Keyword","Multiple pages",1,"Yes","Often","Found a better price elsewhere","Rarely","No","Heavily","Sometimes",3,"Sometimes",1,3,"Competitive prices","Shipping speed and reliability",3
2023-06-04,20,"Female","Less than once a month","Beauty and Personal Care;Clothing and Fashion","Sometimes","Few times a month","Keyword","First page",1,"Yes","Sometimes","Changed my mind or no longer need the item","Often","No","Moderately","Yes",2,"Yes",2,2,"Wide product selection","Reducing packaging waste",1
2023-06-04,23,"Female","Less than once a month","Beauty and Personal Care;Clothing and Fashion","No","Rarely","Keyword","Multiple pages",1,"Yes","Rarely","Found a better price elsewhere","Rarely","No","Heavily","Yes",3,"Yes",3,4,"Wide product selection","Product quality and accuracy",1
2023-06-04,22,"Female","Less than once a month","Clothing and Fashion","No","Few times a month","categories","Multiple pages",1,"Maybe","Sometimes","Found a better price elsewhere","Sometimes","No","Heavily","Yes",3,"Sometimes",3,2,"Competitive prices","Shipping speed and reliability",1
2023-06-04,25,"Female","Multiple times a week","Beauty and Personal Care;Clothing and Fashion;Home and Kitchen","No","Few times a week","Keyword","Multiple pages",1,"Yes","Sometimes","High shipping costs","Sometimes","Yes","Heavily","Yes",3,"Yes",3,1,"Wide product selection","Product quality and accuracy",5
2023-06-05,23,"Female","Less than once a month","Beauty and Personal Care;Clothing and Fashion","No","Few times a month","Keyword","First page",1,"Maybe","Sometimes","Changed my mind or no longer need the item","Rarely","No","Heavily","Sometimes",2,"No",3,2,"Competitive prices","Product quality and accuracy",1
2023-06-05,24,"Female","Once a month","Clothing and Fashion;Home and Kitchen","No","Few times a month","Keyword","Multiple pages",1,"Yes","Often","Changed my mind or no longer need the item","Often","Yes","Moderately","Yes",2,"Yes",2,2,"Wide product selection","Product quality and accuracy",2
2023-06-05,21,"Female","Less than once a month","Beauty and Personal Care","Yes","Few times a week","Keyword","Multiple pages",1,"Yes","Often","Changed my mind or no longer need the item","Always","Yes","Heavily","Yes",5,"Sometimes",3,1,"User-friendly website/app interface","Reducing packaging waste",1
2023-06-05,23,"Female","Less than once a month","others","No","Rarely","Filter","First page",1,"Maybe","Sometimes","High shipping costs","Sometimes","No","Heavily","Yes",3,"Sometimes",3,3,"User-friendly website/app interface","Shipping speed and reliability",1
2023-06-05,16,"Male","Few times a month","Clothing and Fashion;others","Sometimes","Few times a month","Keyword","Multiple pages",1,"Yes","Sometimes","Found a better price elsewhere","Never","No","Heavily","Yes",3,"Sometimes",3,2,"Wide product selection","Shipping speed and reliability",3
2023-06-05,21,"Female","Less than once a month","Clothing and Fashion","No","Few times a month","Keyword","Multiple pages",1,"Maybe","Sometimes","others","Never","No","Heavily","Yes",2,"Yes",2,1,"Wide product selection","Shipping speed and reliability",1
2023-06-05,23,"Female","Few times a month","Beauty and Personal Care;Home and Kitchen","Sometimes","Few times a month","Keyword","Multiple pages",1,"Yes","Sometimes","High shipping costs","Rarely","No","Moderately","Yes",2,"Sometimes",3,2,"Wide product selection","Customer service responsiveness",3
2023-06-05,25,"Female","Less than once a month","Beauty and Personal Care","No","Few times a week","Keyword","Multiple pages",1,"Yes","Sometimes","Found a better price elsewhere","Rarely","No","Heavily","Yes",4,"Sometimes",3,2,"Wide product selection","Product quality and accuracy",1
2023-06-05,64,"Male","Once a week","Groceries and Gourmet Food","No","Few times a month","Keyword","Multiple pages",3,"No","Often","Changed my mind or no longer need the item","Never","No","Occasionally","Yes",2,"Yes",1,2,"Competitive prices","Reducing packaging waste",4
2023-06-05,23,"Female","Once a month","Clothing and Fashion","No","Few times a month","others","First page",1,"Yes","Sometimes","Found a better price elsewhere","Sometimes","No","Heavily","Yes",3,"Sometimes",3,2,"User-friendly website/app interface","Customer service responsiveness",2
2023-06-05,21,"Male","Less than once a month","others","No","Few times a week","others","Multiple pages",1,"Yes","Never","others","Never","No","Never","Sometimes",3,"Sometimes",3,3,".",".",1
2023-06-05,16,"Female","Less than once a month","Clothing and Fashion","No","Few times a month","categories","Multiple pages",2,"Yes","Sometimes","Changed my mind or no longer need the item","Often","No","Moderately","Yes",3,"Yes",2,2,"Wide product selection","Shipping speed and reliability",1
2023-06-05,23,"Female","Few times a month","Beauty and Personal Care;Clothing and Fashion;others","No","Few times a month","Keyword","Multiple pages",1,"Maybe","Rarely","others","Rarely","Yes","Heavily","Yes",3,"Sometimes",1,1,"Competitive prices","Customer service responsiveness",3
